Name,Age,Photo,Nationality,Overall,Growth,TeamID,PosistionID,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
Alain Oyarzun,24,https://cdn.sofifa.org/players/4/19/221144.png,4,68,3,323,3,71,59,46,64,53,73,62,61,64,68,73,71,80,64,72,63,70,52,56,68,58,43,62,66,60,55,54,49,42,12,6,14,14,15
A. Grgić,21,https://cdn.sofifa.org/players/4/19/229336.png,36,68,9,258,5,66,46,48,75,52,60,64,69,70,69,61,54,56,54,69,66,61,66,76,58,63,62,67,70,47,66,68,63,53,6,10,11,15,10
B. Woodburn,18,https://cdn.sofifa.org/players/4/19/236248.png,18,68,17,297,4,50,62,44,67,45,70,50,45,59,71,82,73,79,62,79,66,60,67,57,62,31,28,67,58,62,60,20,15,21,14,7,7,8,12
Juan Carlos,30,https://cdn.sofifa.org/players/4/19/171992.png,4,68,0,323,11,22,13,14,28,15,14,25,14,29,12,52,54,68,70,42,24,76,43,61,13,30,24,13,42,25,38,18,13,14,70,60,59,63,73
D. Petrucci,26,https://cdn.sofifa.org/players/4/19/191192.png,13,68,3,229,7,42,54,64,74,54,70,67,68,70,73,55,56,53,58,51,74,62,76,74,64,59,63,52,56,65,55,59,66,63,10,14,8,9,8
G. Hall,26,https://cdn.sofifa.org/players/4/19/204761.png,12,68,2,301,10,27,31,68,60,28,32,30,31,52,53,60,62,55,66,44,43,71,65,78,42,64,70,37,45,45,59,67,65,66,16,13,12,10,11
Guille Donoso,22,https://cdn.sofifa.org/players/4/19/220889.png,4,68,8,308,6,71,60,47,68,58,72,60,49,66,67,69,71,75,59,73,44,46,55,58,58,38,34,63,65,62,59,45,35,35,7,8,8,6,11
S. Mraz,21,https://cdn.sofifa.org/players/4/19/244185.png,21,68,9,214,1,50,70,72,65,50,65,60,40,50,63,68,67,65,65,62,68,72,65,63,67,38,13,65,54,72,62,45,20,17,15,5,8,6,11
S. Schipplock,29,https://cdn.sofifa.org/players/4/19/200922.png,10,68,0,456,1,62,61,71,63,70,63,53,47,40,68,66,69,62,68,51,76,77,78,80,59,81,42,67,58,59,62,40,30,27,8,7,9,7,6
Y. van Nieff,25,https://cdn.sofifa.org/players/4/19/208602.png,22,68,4,306,7,80,58,56,68,65,67,80,78,72,66,47,44,65,67,64,86,63,72,73,74,67,67,50,67,73,60,67,64,62,14,7,11,8,7
Jesús Valentín,26,https://cdn.sofifa.org/players/4/19/224986.png,4,68,3,448,10,59,22,68,65,30,37,58,57,61,62,66,66,33,57,49,75,73,73,83,60,65,65,31,44,60,58,67,67,62,15,9,9,8,7
M. Senesi,21,https://cdn.sofifa.org/players/4/19/236506.png,1,68,12,184,10,29,32,68,67,25,48,31,22,60,61,62,58,44,64,51,48,79,63,75,31,52,71,26,23,40,60,68,69,64,10,13,11,7,8
A. Hayashi,31,https://cdn.sofifa.org/players/4/19/197851.png,51,68,0,356,11,25,10,23,42,13,19,35,28,38,22,52,44,56,52,41,37,75,35,80,17,25,15,12,49,27,34,9,18,17,69,73,62,63,71
J. Drost,25,https://cdn.sofifa.org/players/4/19/202459.png,22,68,3,306,4,66,64,59,68,64,68,60,56,64,68,73,75,74,67,75,63,43,82,65,61,60,41,65,67,64,72,40,54,51,8,12,15,15,7
O. Ovacıklı,29,https://cdn.sofifa.org/players/4/19/223195.png,52,68,0,229,9,60,29,65,65,35,62,52,41,63,64,65,66,57,67,67,45,60,75,60,48,60,69,54,59,54,56,62,71,69,10,11,9,13,8
A. Al Bulayhi,28,https://cdn.sofifa.org/players/4/19/229851.png,99,68,0,81,10,30,25,64,50,25,34,30,23,30,50,62,67,37,61,74,37,81,68,79,25,69,65,25,30,45,63,66,68,69,13,11,8,14,10
B. Amos,28,https://cdn.sofifa.org/players/4/19/173531.png,12,68,0,352,11,14,13,15,12,13,14,13,11,21,23,50,45,54,62,52,12,57,25,62,15,28,23,14,69,11,63,17,11,12,65,68,70,65,71
N. Moumi Ngamaleu,23,https://cdn.sofifa.org/players/4/19/235996.png,57,68,6,155,6,58,68,61,62,62,67,58,45,51,68,85,90,75,63,68,69,71,69,68,58,55,32,64,58,64,58,32,27,28,7,15,10,12,9
J. Aguirre,31,https://cdn.sofifa.org/players/4/19/214493.png,15,68,0,330,4,63,61,59,67,67,67,68,59,64,64,73,83,77,67,83,65,71,68,67,65,42,24,65,67,60,60,36,24,25,8,14,16,7,15
S. Hlanti,28,https://cdn.sofifa.org/players/4/19/233437.png,84,68,0,86,9,75,31,53,58,33,69,51,38,67,66,72,70,52,58,58,41,60,62,66,28,53,68,51,51,43,63,66,76,68,12,13,5,14,5
D. Button,29,https://cdn.sofifa.org/players/4/19/173533.png,12,68,0,123,11,13,12,19,46,11,23,12,15,33,33,60,52,50,62,45,12,58,35,33,13,12,24,12,41,11,61,7,17,11,71,69,58,65,69
K. Özer,30,https://cdn.sofifa.org/players/4/19/177885.png,52,68,0,188,6,66,48,46,64,62,72,58,45,60,68,82,80,78,68,90,58,77,60,32,60,62,17,62,60,41,58,40,39,33,11,13,11,12,14
Álvaro,27,https://cdn.sofifa.org/players/4/19/189661.png,4,68,1,442,1,57,70,57,61,55,68,49,39,49,72,71,74,73,66,60,60,72,74,70,69,25,23,72,61,55,55,32,21,19,13,10,9,8,9
K. Opare,27,https://cdn.sofifa.org/players/4/19/212958.png,64,68,1,105,10,42,38,71,57,30,50,27,28,46,51,65,71,66,67,56,37,79,71,78,25,71,62,48,38,35,56,66,67,65,10,10,13,15,11
J. Andersen,25,https://cdn.sofifa.org/players/4/19/216286.png,16,68,3,450,5,59,59,54,68,57,67,59,64,66,69,71,75,63,64,67,68,69,86,77,60,72,64,61,65,55,66,67,59,58,14,13,13,8,14
M. Diagne,24,https://cdn.sofifa.org/players/4/19/220126.png,19,68,7,498,10,40,23,66,60,33,36,35,31,52,55,69,75,61,56,51,44,83,70,75,27,67,65,22,29,33,61,66,69,63,7,6,14,6,7
S. Skrabb,23,https://cdn.sofifa.org/players/4/19/221662.png,32,68,8,411,2,53,70,54,66,65,67,62,59,60,66,79,77,82,65,79,67,77,73,68,63,55,35,69,63,49,62,62,32,27,14,12,16,14,14
V. Muriqi,24,https://cdn.sofifa.org/players/4/19/223710.png,83,68,6,229,1,35,69,73,54,61,60,58,30,35,63,53,69,49,61,34,75,43,66,88,63,51,18,70,46,67,54,20,25,22,8,9,14,9,10
H. Yılmaz,34,https://cdn.sofifa.org/players/4/19/234462.png,52,68,0,218,11,13,5,10,15,5,14,13,12,27,19,31,22,41,66,37,17,47,20,68,8,21,12,5,31,19,55,11,13,13,68,65,60,68,70
Y. Merdji,24,https://cdn.sofifa.org/players/4/19/237023.png,11,68,5,360,1,62,72,55,64,62,72,45,30,59,69,71,71,76,60,78,70,84,70,69,67,67,16,64,65,61,60,11,15,13,9,14,8,7,10
J. Matoušek,20,https://cdn.sofifa.org/players/4/19/246239.png,38,68,15,237,2,53,65,45,66,52,70,46,48,58,67,91,87,89,55,76,57,65,54,55,63,51,16,72,64,44,66,22,20,23,10,6,7,12,6
Licá,29,https://cdn.sofifa.org/players/4/19/184031.png,2,68,0,455,3,67,66,60,66,58,66,66,67,60,67,76,70,76,69,69,67,72,71,67,64,70,55,72,61,57,68,35,38,34,12,6,8,15,6
P. Valdivia,30,https://cdn.sofifa.org/players/4/19/188383.png,11,68,0,339,5,60,67,62,69,51,58,64,68,66,67,57,55,73,69,56,72,73,77,75,72,68,69,64,64,62,67,63,65,63,7,10,15,8,8
J. Shaughnessy,25,https://cdn.sofifa.org/players/4/19/198624.png,62,68,5,567,10,38,16,67,65,16,62,36,31,51,64,72,69,72,59,52,14,79,76,75,13,69,62,22,32,35,48,66,67,66,10,16,12,7,16
J. Green,23,https://cdn.sofifa.org/players/4/19/212192.png,64,68,7,482,4,69,67,55,66,69,75,56,53,51,69,78,75,82,65,80,63,65,71,49,62,31,16,66,59,58,60,29,25,24,14,9,8,10,12
J. Parraguez,28,https://cdn.sofifa.org/players/4/19/229856.png,29,68,0,483,1,47,71,73,57,59,65,34,31,38,63,50,57,55,58,52,70,85,72,88,62,43,21,69,47,63,60,21,17,21,12,7,9,7,11
Marc Pedraza,31,https://cdn.sofifa.org/players/4/19/190176.png,4,68,0,449,7,32,49,49,70,59,60,31,41,67,67,67,70,65,62,61,61,71,75,72,61,71,69,53,56,47,70,63,66,59,12,9,15,8,13
Q. Antipas,34,https://cdn.sofifa.org/players/4/19/196064.png,70,68,0,539,1,59,65,58,62,63,71,64,64,53,70,85,83,82,64,84,70,92,65,68,54,73,38,69,61,64,65,30,23,22,16,6,15,8,7
S. Bain,26,https://cdn.sofifa.org/players/4/19/198625.png,39,68,4,178,11,16,12,16,27,15,13,16,21,24,11,41,46,43,66,53,23,70,30,60,14,35,23,17,61,19,62,19,11,10,66,68,68,63,72
R. Towell,26,https://cdn.sofifa.org/players/4/19/202465.png,62,68,1,513,5,59,63,55,68,60,63,59,66,66,68,66,63,73,66,75,67,68,78,62,64,74,64,63,66,68,64,60,64,60,7,14,8,7,9
C. Donis,23,https://cdn.sofifa.org/players/4/19/210401.png,28,68,7,257,5,61,60,54,73,60,65,54,60,71,71,70,71,66,62,59,70,71,75,68,64,67,55,64,61,53,64,54,59,59,6,14,9,10,7
J. Muñoz,30,https://cdn.sofifa.org/players/4/19/214753.png,29,68,0,415,3,62,63,60,64,41,71,52,47,62,69,77,79,78,62,69,60,75,67,72,52,51,47,73,59,61,67,30,39,25,13,16,10,8,14
C. Antwi-Adjej,24,https://cdn.sofifa.org/players/4/19/239073.png,10,68,5,466,6,61,66,36,65,57,73,56,35,44,68,88,86,90,63,86,53,74,70,51,43,38,23,61,56,49,54,27,25,20,10,8,7,13,5
Iván Rodríguez,22,https://cdn.sofifa.org/players/4/19/220386.png,4,68,8,227,9,66,46,47,63,38,64,59,26,55,66,70,72,69,63,68,61,62,70,54,58,59,67,54,48,33,54,66,70,73,11,15,9,7,6
A. Bono,24,https://cdn.sofifa.org/players/4/19/226786.png,64,68,6,65,11,18,12,12,25,19,18,12,16,35,20,41,41,39,65,42,17,65,45,73,15,44,13,13,51,23,49,12,14,19,69,66,66,66,70
S. Ugarković,23,https://cdn.sofifa.org/players/4/19/232162.png,66,68,5,447,7,53,38,59,70,35,68,40,31,68,69,72,72,63,57,66,57,62,78,76,54,64,67,54,52,32,60,67,66,60,13,10,12,14,10
C. Gonzalez,28,https://cdn.sofifa.org/players/4/19/242146.png,29,68,0,524,11,16,9,15,47,9,11,16,12,23,21,24,33,22,65,46,33,67,25,55,21,29,15,8,46,35,65,17,16,12,66,67,66,67,67
T. Pekhart,29,https://cdn.sofifa.org/players/4/19/184290.png,38,68,0,181,1,36,68,78,60,65,56,46,34,42,64,51,53,38,67,39,74,62,62,84,57,53,28,69,56,61,68,58,27,24,12,15,16,10,16
J. Collins,27,https://cdn.sofifa.org/players/4/19/194018.png,62,68,0,569,1,35,69,72,53,62,63,61,61,49,62,69,73,68,65,53,68,86,82,84,59,63,32,64,46,64,65,34,19,18,7,15,11,11,13
M. Haïdara,25,https://cdn.sofifa.org/players/4/19/201955.png,11,68,3,329,9,62,41,59,65,37,69,52,58,57,66,76,70,63,63,71,79,73,73,73,45,74,68,53,49,55,62,67,70,68,10,13,14,8,16
M. Al Harbi,30,https://cdn.sofifa.org/players/4/19/210147.png,99,68,0,157,9,68,45,54,65,40,65,61,48,61,64,76,79,74,66,63,46,75,83,63,40,61,59,61,58,33,59,67,70,62,12,8,12,10,11
B. Peacock-Farrell,21,https://cdn.sofifa.org/players/4/19/229091.png,97,68,9,216,11,14,11,17,28,11,17,20,11,26,30,54,51,40,63,69,28,68,34,61,17,24,20,14,38,29,47,19,20,20,70,65,70,62,71
S. Peña,22,https://cdn.sofifa.org/players/4/19/236259.png,67,68,6,145,4,67,62,59,70,57,70,53,56,68,69,69,67,66,60,74,63,46,69,61,66,27,53,66,67,69,59,46,41,39,5,12,13,10,6
K. Rüegg,19,https://cdn.sofifa.org/players/4/19/240099.png,36,68,17,519,9,57,41,57,64,42,61,54,36,64,65,85,79,64,64,76,38,55,79,80,35,68,61,58,58,30,62,67,70,67,6,9,8,11,13
Ivanildo Fernandes,22,https://cdn.sofifa.org/players/4/19/244963.png,2,68,8,321,10,37,21,71,63,27,41,27,30,50,53,58,66,33,61,36,45,64,74,86,25,76,63,31,38,39,52,67,66,61,12,6,14,9,5
F. Raspentino,29,https://cdn.sofifa.org/players/4/19/204260.png,11,68,0,487,1,67,66,66,67,66,68,65,48,56,69,74,74,71,68,70,66,71,54,63,63,43,14,68,64,62,53,13,16,12,9,9,12,12,10
Etxeberría,23,https://cdn.sofifa.org/players/4/19/211428.png,4,68,7,323,9,70,19,52,68,39,64,62,44,56,68,74,73,70,59,61,37,75,74,69,32,70,66,56,52,39,68,64,67,66,13,9,7,7,11
Helito Caldeira,34,https://cdn.sofifa.org/players/4/19/230372.png,3,68,0,69,9,58,47,73,69,56,57,73,61,58,77,62,66,60,66,49,72,54,58,77,49,70,73,57,43,64,63,71,58,71,14,10,13,8,13
A. Santamaría,26,https://cdn.sofifa.org/players/4/19/236260.png,67,68,3,255,10,61,55,68,66,58,66,59,64,66,65,64,68,60,51,63,72,50,69,71,65,68,65,62,62,62,66,70,71,69,12,11,10,7,13
S. Lowry,29,https://cdn.sofifa.org/players/4/19/183524.png,66,68,1,256,10,62,36,62,63,26,61,36,62,61,59,55,58,59,52,51,51,75,65,88,25,91,61,39,45,51,62,62,63,66,13,10,8,7,7
C. Connolly,20,https://cdn.sofifa.org/players/4/19/229605.png,12,68,13,427,7,65,61,68,68,32,66,56,49,67,69,61,61,69,63,72,69,69,68,55,65,77,67,62,61,50,65,69,69,68,5,9,15,7,14
Pedrosa,21,https://cdn.sofifa.org/players/4/19/237541.png,2,68,8,259,7,58,39,53,70,46,65,50,41,73,67,68,66,60,63,61,64,68,72,68,59,64,75,58,65,52,59,60,64,55,13,12,10,13,9
W. Kanga,20,https://cdn.sofifa.org/players/4/19/239589.png,43,68,9,209,1,68,67,66,61,55,68,54,37,58,72,75,76,69,58,49,65,59,44,79,55,57,29,64,59,59,61,19,15,18,7,13,14,7,14
M. Madisha,23,https://cdn.sofifa.org/players/4/19/241381.png,84,68,8,86,10,41,58,65,56,33,65,33,41,64,66,72,71,55,61,65,45,68,69,58,35,52,73,35,40,82,65,68,76,73,14,11,8,15,9
J. Mousinho,32,https://cdn.sofifa.org/players/4/19/176357.png,12,68,0,548,7,51,51,64,61,55,61,46,54,61,62,53,55,68,63,67,62,66,78,79,55,74,65,60,60,61,61,66,69,67,15,13,11,16,8
N. Boogaard,31,https://cdn.sofifa.org/players/4/19/181477.png,66,68,0,447,10,21,23,61,65,20,33,19,18,64,43,50,48,43,56,41,42,82,51,84,23,78,67,24,36,27,60,65,67,63,12,9,12,9,6
G. Moncur,24,https://cdn.sofifa.org/players/4/19/201446.png,12,68,5,534,5,66,66,45,72,55,72,64,68,64,71,65,69,65,59,72,63,54,77,65,61,61,57,67,65,58,64,53,59,48,12,11,12,10,9
M. Araz,24,https://cdn.sofifa.org/players/4/19/221926.png,36,68,6,250,4,46,60,39,69,58,66,59,54,64,68,77,77,77,73,91,66,57,60,45,56,58,43,69,62,45,62,28,42,44,7,14,11,10,11
Nuno Tomás,22,https://cdn.sofifa.org/players/4/19/231142.png,2,68,3,455,10,31,27,70,55,28,42,30,31,37,50,58,57,57,59,56,46,85,63,79,26,69,64,30,30,43,59,67,69,66,8,8,9,10,10
G. Páez,28,https://cdn.sofifa.org/players/4/19/237542.png,50,68,0,251,1,55,76,64,64,59,65,48,37,36,68,76,75,62,59,72,68,70,60,56,71,45,19,59,56,73,57,29,19,27,7,14,9,11,10
G. Galitsios,31,https://cdn.sofifa.org/players/4/19/188390.png,28,68,0,399,9,70,16,60,68,25,61,72,68,67,66,67,67,65,66,66,60,66,61,69,17,74,70,59,63,37,70,69,68,67,10,16,16,6,13
F. Semb Berge,28,https://cdn.sofifa.org/players/4/19/190438.png,37,68,2,560,10,29,26,66,61,37,24,34,62,61,55,44,52,32,60,57,78,74,60,84,52,68,67,35,48,32,59,65,68,65,12,8,9,10,10
R. de la Fuente,27,https://cdn.sofifa.org/players/4/19/214759.png,29,68,1,343,9,65,42,45,66,38,67,67,38,62,65,72,75,67,63,79,66,63,70,70,64,68,66,63,52,42,68,65,70,71,14,10,11,11,15
M. Rodák,21,https://cdn.sofifa.org/players/4/19/222951.png,21,68,8,513,11,15,20,15,28,19,15,13,17,17,21,51,41,43,57,46,19,56,27,68,15,21,21,17,28,23,51,8,17,16,69,68,70,66,69
S. Johnson,25,https://cdn.sofifa.org/players/4/19/226535.png,134,68,5,555,1,53,67,64,58,61,66,52,37,36,64,86,92,69,64,73,64,75,86,72,54,61,29,69,60,57,61,19,14,13,11,11,10,12,14
Óscar,20,https://cdn.sofifa.org/players/4/19/239335.png,4,68,13,176,5,56,69,42,71,42,75,78,82,68,74,68,66,67,68,77,59,59,47,50,71,43,60,66,65,53,68,47,37,43,12,7,9,11,7
J. Parr,29,https://cdn.sofifa.org/players/4/19/170472.png,37,68,0,433,9,65,59,57,64,50,64,49,53,59,65,71,71,75,63,69,58,54,90,68,54,60,63,61,55,53,64,61,66,64,6,8,11,15,7
L. Vido,21,https://cdn.sofifa.org/players/4/19/237544.png,13,68,14,334,1,61,69,69,64,51,70,62,61,56,69,67,68,70,69,65,68,72,68,64,62,43,29,66,57,68,67,40,22,21,12,13,9,14,9
G. McCleary,31,https://cdn.sofifa.org/players/4/19/189160.png,48,68,0,304,3,64,63,55,63,70,69,68,63,55,68,79,77,68,66,66,78,73,52,70,69,55,38,66,67,67,59,48,50,43,14,15,8,9,14
L. MacLeod,24,https://cdn.sofifa.org/players/4/19/210409.png,39,68,4,292,5,67,59,50,68,46,64,60,61,68,70,59,64,63,63,61,63,62,67,60,65,64,57,68,72,50,65,60,66,60,16,7,8,9,12
G. Dobson,20,https://cdn.sofifa.org/players/4/19/225769.png,12,68,8,574,5,57,50,60,68,43,64,60,56,69,66,65,69,69,64,74,65,69,88,73,52,77,64,58,69,51,70,64,65,63,9,9,13,11,7
F. Aursnes,22,https://cdn.sofifa.org/players/4/19/231913.png,37,68,8,362,5,68,58,53,69,48,64,67,63,65,67,67,75,74,65,75,66,71,86,60,64,75,65,66,65,66,65,63,63,58,12,14,14,8,13
Y. Boé-Kane,27,https://cdn.sofifa.org/players/4/19/215786.png,11,68,2,400,7,55,31,69,67,32,57,37,37,60,61,67,60,64,63,55,66,76,83,76,45,70,71,33,53,48,62,66,69,63,6,10,11,9,9
M. Vilotić,31,https://cdn.sofifa.org/players/4/19/209643.png,25,68,0,413,10,43,38,76,58,35,54,34,42,59,58,43,51,55,55,62,62,66,67,77,52,59,63,39,41,61,66,68,69,67,13,12,12,14,14
A. Androutsos,21,https://cdn.sofifa.org/players/4/19/234987.png,28,68,12,132,4,60,66,55,72,64,68,63,60,64,70,78,75,76,65,68,64,56,73,59,62,47,55,56,64,59,66,62,56,55,10,8,11,10,13
Edgar,31,https://cdn.sofifa.org/players/4/19/179947.png,3,68,0,335,1,60,65,70,65,69,65,71,44,60,64,48,65,55,68,57,74,65,69,73,66,73,24,69,63,80,71,32,27,25,15,6,10,16,13
M. Smith,29,https://cdn.sofifa.org/players/4/19/203756.png,12,68,0,301,1,43,67,91,53,60,40,50,35,41,66,43,46,46,65,32,74,56,64,93,56,67,22,73,62,62,56,50,39,13,14,14,8,11,9
N. Bellomo,27,https://cdn.sofifa.org/players/4/19/205548.png,13,68,0,404,5,58,58,40,70,56,67,65,72,67,69,64,66,72,69,69,67,71,71,62,69,59,60,56,69,44,66,44,65,63,14,14,11,10,13
Toquero,33,https://cdn.sofifa.org/players/4/19/170988.png,4,68,0,350,6,71,60,77,66,65,65,68,52,58,61,70,68,55,76,63,72,78,77,80,55,77,57,72,67,66,59,59,56,47,9,7,15,12,7
J. Chabot,20,https://cdn.sofifa.org/players/4/19/239340.png,10,68,9,208,10,33,21,66,54,36,47,31,30,48,49,40,46,47,60,34,40,65,59,84,23,79,65,23,35,41,52,66,67,69,9,13,7,8,7
L. Bertone,24,https://cdn.sofifa.org/players/4/19/211437.png,36,68,7,155,5,58,64,57,71,31,59,67,68,67,65,61,74,65,63,71,68,76,77,65,69,68,65,67,68,59,65,63,59,57,11,8,12,8,10
M. Herrera,26,https://cdn.sofifa.org/players/4/19/214765.png,1,68,2,171,10,58,42,68,67,33,59,47,35,69,64,65,66,61,65,61,61,70,73,75,53,78,70,52,49,42,61,66,63,60,8,13,15,11,12
M. Clark,22,https://cdn.sofifa.org/players/4/19/223981.png,12,68,9,283,9,63,52,54,63,42,63,52,39,57,66,73,66,71,66,68,46,76,67,64,55,71,65,53,48,51,52,70,73,68,15,13,6,11,9
A. Benedetti,26,https://cdn.sofifa.org/players/4/19/234989.png,13,68,1,429,9,64,41,58,63,45,62,49,41,60,61,78,76,73,59,90,48,61,74,54,42,60,65,47,51,42,59,69,70,70,10,12,15,13,9
E. Håland,17,https://cdn.sofifa.org/players/4/19/239085.png,37,68,17,362,1,46,67,59,60,58,67,66,33,33,66,77,80,68,63,63,66,68,71,84,55,80,22,66,57,68,63,38,28,15,7,14,13,11,7
O. Buff,25,https://cdn.sofifa.org/players/4/19/198638.png,36,68,3,350,4,71,59,39,70,59,65,68,72,64,67,66,68,70,59,72,59,64,62,64,65,59,57,70,74,62,66,33,58,55,8,12,8,6,10
K. Friesenbichler,24,https://cdn.sofifa.org/players/4/19/223214.png,27,68,4,371,1,31,69,73,50,72,62,42,26,34,66,63,69,64,63,55,68,74,62,75,57,46,12,73,42,65,66,22,14,14,6,12,15,13,8
E. Kaş,26,https://cdn.sofifa.org/players/4/19/223726.png,52,68,1,293,9,69,55,53,67,63,72,68,64,64,74,76,75,76,67,72,72,56,68,62,67,74,68,62,64,56,66,65,67,62,9,13,12,6,7
D. Martínez,28,https://cdn.sofifa.org/players/4/19/226542.png,15,68,2,361,11,17,14,18,27,16,11,20,18,17,25,42,46,36,65,52,24,57,31,35,12,16,22,19,21,23,36,27,14,15,67,65,71,67,69
D. Post,29,https://cdn.sofifa.org/players/4/19/199407.png,22,68,0,215,7,56,55,50,72,46,63,43,58,70,68,52,36,45,64,43,70,56,75,89,59,44,64,61,59,59,68,64,69,66,15,11,16,10,13
L. Balbi,29,https://cdn.sofifa.org/players/4/19/214767.png,1,68,0,465,9,69,43,45,60,42,64,59,46,63,65,80,75,85,67,79,58,81,74,67,49,73,68,54,39,44,56,62,66,68,7,9,7,11,12
A. Jovanović,25,https://cdn.sofifa.org/players/4/19/234735.png,25,68,4,279,11,14,8,10,22,6,7,11,10,15,16,22,22,41,64,28,21,30,27,69,8,20,8,6,33,14,49,20,10,10,69,65,65,68,67
L. Lamprou,20,https://cdn.sofifa.org/players/4/19/237039.png,28,68,9,390,3,63,66,61,60,63,66,61,49,50,71,82,84,79,60,60,64,62,73,61,64,55,18,70,55,62,63,41,13,16,12,14,13,7,11
J. Collins,23,https://cdn.sofifa.org/players/4/19/241135.png,56,68,5,466,9,66,29,53,65,35,71,52,32,47,70,86,83,77,64,74,42,69,77,73,31,62,60,51,46,35,53,62,66,59,8,6,10,7,10
G. Vargas,34,https://cdn.sofifa.org/players/4/19/216048.png,29,68,0,587,1,43,70,76,67,56,60,53,52,33,58,63,66,61,68,59,66,76,70,67,57,38,18,74,49,70,59,24,24,18,9,10,10,6,7
A. Bonnet,31,https://cdn.sofifa.org/players/4/19/173040.png,11,68,0,424,6,74,53,46,70,54,69,71,70,66,64,77,77,87,57,81,70,34,79,50,74,43,52,60,63,66,67,32,30,21,6,7,13,6,9
R. Ruiter,31,https://cdn.sofifa.org/players/4/19/189936.png,22,68,0,402,11,16,12,12,36,14,17,14,13,34,18,55,55,38,67,34,44,55,37,68,16,35,22,17,39,24,49,20,16,16,68,64,67,69,68
P. Farkas,25,https://cdn.sofifa.org/players/4/19/193264.png,27,68,3,148,9,66,57,58,65,39,65,67,38,64,64,79,85,76,54,76,75,73,88,65,63,71,59,54,56,35,63,64,64,64,12,13,12,9,14
R. Grant,27,https://cdn.sofifa.org/players/4/19/192241.png,66,68,1,243,9,63,54,52,65,42,63,56,51,59,65,73,68,77,62,73,67,82,92,73,66,70,65,62,60,56,63,64,66,63,16,15,16,7,10
D. Ulvestad,29,https://cdn.sofifa.org/players/4/19/198642.png,37,68,0,571,10,33,39,66,58,42,33,35,21,54,52,47,43,47,68,44,68,77,64,80,42,71,69,38,40,34,63,68,66,58,12,11,10,16,14
Han Kyo Won,28,https://cdn.sofifa.org/players/4/19/202994.png,31,68,0,418,6,59,66,62,66,67,67,67,57,52,68,86,79,88,62,68,65,70,74,62,67,70,55,66,65,67,71,54,58,57,7,11,15,7,12
H. Marín,25,https://cdn.sofifa.org/players/4/19/212467.png,47,68,4,224,10,27,25,70,60,28,40,27,58,56,58,66,63,47,63,48,60,64,64,78,39,60,67,26,48,45,58,61,72,69,9,11,15,10,9
D. Dos Santos,21,https://cdn.sofifa.org/players/4/19/224243.png,22,68,5,306,3,64,55,47,60,55,75,73,53,58,72,87,87,92,59,75,65,62,70,39,52,60,45,62,64,59,60,33,44,40,12,12,15,7,10
Kim Min Hyeok,26,https://cdn.sofifa.org/players/4/19/232691.png,31,68,3,106,10,23,19,61,41,26,36,28,22,30,54,78,79,44,55,52,48,63,63,83,22,81,62,28,34,32,49,66,70,70,13,12,11,8,7
M. Titsch Rivero,28,https://cdn.sofifa.org/players/4/19/196339.png,10,68,0,523,5,56,46,59,72,48,65,40,39,67,69,63,65,68,68,65,52,74,78,67,50,64,66,58,67,46,64,60,65,59,10,12,14,9,13
S. Maier,24,https://cdn.sofifa.org/players/4/19/205044.png,10,68,5,376,4,66,54,47,68,62,71,70,70,55,69,77,68,83,64,76,73,71,60,53,71,54,38,61,64,59,56,41,24,20,11,7,14,9,8
A. Maund,27,https://cdn.sofifa.org/players/4/19/207860.png,64,68,1,326,10,25,39,68,62,26,51,42,27,52,60,48,63,34,68,38,59,71,68,73,42,74,67,42,54,32,53,67,69,60,9,7,7,14,6
A. Le Fondre,31,https://cdn.sofifa.org/players/4/19/163828.png,12,68,0,243,1,65,73,61,62,71,63,66,53,51,68,70,68,70,67,77,67,75,65,60,60,55,34,71,66,83,74,19,21,14,8,7,6,6,16
H. Eyjólfsson,27,https://cdn.sofifa.org/players/4/19/188916.png,46,68,1,86,10,57,38,66,60,33,54,31,38,56,53,73,74,46,64,58,59,71,60,78,44,67,69,38,51,45,62,63,71,66,8,12,11,11,11
L. Bacuna,26,https://cdn.sofifa.org/players/4/19/198133.png,100,68,1,304,5,69,60,63,67,69,68,76,71,67,67,76,79,77,63,64,79,71,79,77,67,74,64,59,67,76,68,58,66,64,15,8,14,16,15
N. Röseler,26,https://cdn.sofifa.org/players/4/19/205045.png,10,68,2,215,10,37,28,68,63,32,56,34,36,65,60,62,60,68,65,30,44,67,68,74,38,66,66,48,53,40,70,65,69,68,8,15,8,7,7
B. Meccariello,27,https://cdn.sofifa.org/players/4/19/211189.png,13,68,2,381,10,35,22,62,50,22,36,25,27,48,49,67,71,58,62,50,45,80,63,87,33,64,66,21,37,29,64,70,67,65,9,5,12,14,11
Bai Jiajun,27,https://cdn.sofifa.org/players/4/19/222197.png,80,68,1,159,9,64,46,57,62,30,61,52,37,48,58,80,70,79,64,89,54,91,90,43,46,75,61,65,64,45,53,57,67,69,14,15,13,14,11
